% Difference Cation/Anion - Calculated,Þ DIFB (%) ENV-Lab
Acidity - Grans,ACD_G
Acidity - Phenol,ACD_P
Acidity - Total,ACD_T
Alkalinity - Grans,ALK_G
Alkalinity - Total,ALK_T
Aluminum - Dissolved,Al
Aluminum - Total  ,Al
Aluminum - Total  acid extractable,Al
Ammonia,NH3T
Antimony,Sb
Arsenic - Dissolved,As
Arsenic - Total  ,As
Arsenic - Total  acid extractable,As
Cadmium - Dissolved,Cd 
Cadmium - Total  ,Cd 
Cadmium - Total acid extractable,Cd 
Calcium,Ca 
Chloride,Cl
Chromium - Dissolved,Cr
Chromium - Total  ,Cr
Chromium - Total acid extractable,Cr
Coliform bacteria,Coliform bacteria
Colour,CLRA 
Conductivity,COND
Copper - Dissolved,Cu
Copper - Total  ,Cu
Copper - Total acid extractable,Cu
Dissolved Organic Carbon,DOC
Dissolved Oxygen,DO
Enterococcus,Enterococcus
Eschericia coli,E_coli
Fluoride,F
Hardness,HARD
Iron - Dissolved,Fe
Iron - Total  ,Fe
Iron - Total acid extractable,Fe
Lead - Dissolved,Pb
Lead - Total  ,Pb
Lead - Total acid extractable,Pb
Magnesium,Mg
Manganese,Mn
Nickel - Dissolved,Ni
Nickel - Total  ,Ni
Nickel - Total acid extractable,Ni
Nitrate,NO3
Nitrite,NO2
Nitrous oxides,NOX
Oxidation Reduction Potential,ORP
pH,PH
Phosphate,PO4
Potassium,K
Salinity,Sal
Saturation Index - Calculated,Þ SIN (no units) ENV-Lab
Sodium,Na
Sulphate,SO4
Temperature,TEMP
Total Dissolved Solids - Calculated,Þ =TDS (mg/L) ENV-Lab
Total Nitrogen,TN
Total Organic Carbon,TOC
Total Phosphorus - High level,TP-H
Total Phosphorus - Low level,TP-L
Total Suspended Solids,TSS
Turbidity,TURB
Zinc - Dissolved,Zn
Zinc - Total  ,Zn
Zinc - Total acid extractable,Zn
