1,% Difference Cation/Anion - Calculated,Þ DIFB (%) ENV-Lab,2008-06-18 15:07:25,2008-06-18 15:07:25
2,Acidity - Grans,ACD_G,2008-06-18 15:07:25,2008-06-18 15:07:25
3,Acidity - Phenol,ACD_P,2008-06-18 15:07:25,2008-06-18 15:07:25
4,Acidity - Total,ACD_T,2008-06-18 15:07:25,2008-06-18 15:07:25
5,Alkalinity - Grans,ALK_G,2008-06-18 15:07:25,2008-06-18 15:07:25
6,Alkalinity - Total,ALK_T,2008-06-18 15:07:25,2008-06-18 15:07:25
7,Aluminum - Dissolved,Al,2008-06-18 15:07:25,2008-06-18 15:07:25
8,Aluminum - Total  ,Al,2008-06-18 15:07:25,2008-06-18 15:07:25
9,Aluminum - Total  acid extractable,Al,2008-06-18 15:07:25,2008-06-18 15:07:25
10,Ammonia,NH3T,2008-06-18 15:07:25,2008-06-18 15:07:25
11,Antimony,Sb,2008-06-18 15:07:25,2008-06-18 15:07:25
12,Arsenic - Dissolved,As,2008-06-18 15:07:25,2008-06-18 15:07:25
13,Arsenic - Total  ,As,2008-06-18 15:07:25,2008-06-18 15:07:25
14,Arsenic - Total  acid extractable,As,2008-06-18 15:07:25,2008-06-18 15:07:25
15,Cadmium - Dissolved,Cd ,2008-06-18 15:07:25,2008-06-18 15:07:25
16,Cadmium - Total  ,Cd ,2008-06-18 15:07:25,2008-06-18 15:07:25
17,Cadmium - Total acid extractable,Cd ,2008-06-18 15:07:25,2008-06-18 15:07:25
18,Calcium,Ca ,2008-06-18 15:07:25,2008-06-18 15:07:25
19,Chloride,Cl,2008-06-18 15:07:25,2008-06-18 15:07:25
20,Chromium - Dissolved,Cr,2008-06-18 15:07:25,2008-06-18 15:07:25
21,Chromium - Total  ,Cr,2008-06-18 15:07:25,2008-06-18 15:07:25
22,Chromium - Total acid extractable,Cr,2008-06-18 15:07:25,2008-06-18 15:07:25
23,Coliform bacteria,Coliform bacteria,2008-06-18 15:07:25,2008-06-18 15:07:25
24,Colour,CLRA ,2008-06-18 15:07:25,2008-06-18 15:07:25
25,Conductivity,COND,2008-06-18 15:07:25,2008-06-18 15:07:25
26,Copper - Dissolved,Cu,2008-06-18 15:07:25,2008-06-18 15:07:25
27,Copper - Total  ,Cu,2008-06-18 15:07:25,2008-06-18 15:07:25
28,Copper - Total acid extractable,Cu,2008-06-18 15:07:25,2008-06-18 15:07:25
29,Dissolved Organic Carbon,DOC,2008-06-18 15:07:25,2008-06-18 15:07:25
30,Dissolved Oxygen,DO,2008-06-18 15:07:25,2008-06-18 15:07:25
31,Enterococcus,Enterococcus,2008-06-18 15:07:25,2008-06-18 15:07:25
32,Eschericia coli,E_coli,2008-06-18 15:07:25,2008-06-18 15:07:25
33,Fluoride,F,2008-06-18 15:07:25,2008-06-18 15:07:25
34,Hardness,HARD,2008-06-18 15:07:25,2008-06-18 15:07:25
35,Iron - Dissolved,Fe,2008-06-18 15:07:25,2008-06-18 15:07:25
36,Iron - Total  ,Fe,2008-06-18 15:07:25,2008-06-18 15:07:25
37,Iron - Total acid extractable,Fe,2008-06-18 15:07:25,2008-06-18 15:07:25
38,Lead - Dissolved,Pb,2008-06-18 15:07:25,2008-06-18 15:07:25
39,Lead - Total  ,Pb,2008-06-18 15:07:25,2008-06-18 15:07:25
40,Lead - Total acid extractable,Pb,2008-06-18 15:07:25,2008-06-18 15:07:25
41,Magnesium,Mg,2008-06-18 15:07:25,2008-06-18 15:07:25
42,Manganese,Mn,2008-06-18 15:07:25,2008-06-18 15:07:25
43,Nickel - Dissolved,Ni,2008-06-18 15:07:25,2008-06-18 15:07:25
44,Nickel - Total  ,Ni,2008-06-18 15:07:25,2008-06-18 15:07:25
45,Nickel - Total acid extractable,Ni,2008-06-18 15:07:25,2008-06-18 15:07:25
46,Nitrate,NO3,2008-06-18 15:07:25,2008-06-18 15:07:25
47,Nitrite,NO2,2008-06-18 15:07:25,2008-06-18 15:07:25
48,Nitrous oxides,NOX,2008-06-18 15:07:25,2008-06-18 15:07:25
49,Oxidation Reduction Potential,ORP,2008-06-18 15:07:25,2008-06-18 15:07:25
50,pH,PH,2008-06-18 15:07:25,2008-06-18 15:07:25
51,Phosphate,PO4,2008-06-18 15:07:25,2008-06-18 15:07:25
52,Potassium,K,2008-06-18 15:07:25,2008-06-18 15:07:25
53,Salinity,Sal,2008-06-18 15:07:25,2008-06-18 15:07:25
54,Saturation Index - Calculated,Þ SIN (no units) ENV-Lab,2008-06-18 15:07:25,2008-06-18 15:07:25
55,Sodium,Na,2008-06-18 15:07:25,2008-06-18 15:07:25
56,Sulphate,SO4,2008-06-18 15:07:25,2008-06-18 15:07:25
57,Temperature,TEMP,2008-06-18 15:07:25,2008-06-18 15:07:25
58,Total Dissolved Solids - Calculated,Þ =TDS (mg/L) ENV-Lab,2008-06-18 15:07:25,2008-06-18 15:07:25
59,Total Nitrogen,TN,2008-06-18 15:07:25,2008-06-18 15:07:25
60,Total Organic Carbon,TOC,2008-06-18 15:07:25,2008-06-18 15:07:25
61,Total Phosphorus - High level,TP-H,2008-06-18 15:07:25,2008-06-18 15:07:25
62,Total Phosphorus - Low level,TP-L,2008-06-18 15:07:25,2008-06-18 15:07:25
63,Total Suspended Solids,TSS,2008-06-18 15:07:25,2008-06-18 15:07:25
64,Turbidity,TURB,2008-06-18 15:07:25,2008-06-18 15:07:25
65,Zinc - Dissolved,Zn,2008-06-18 15:07:25,2008-06-18 15:07:25
66,Zinc - Total  ,Zn,2008-06-18 15:07:25,2008-06-18 15:07:25
67,Zinc - Total acid extractable,Zn,2008-06-18 15:07:25,2008-06-18 15:07:25
